experience_level,job_title,salary,company_location,company_size
4,0,80000,0,3
3,1,30000,1,2
3,1,25500,1,2
4,2,175000,2,1
4,2,120000,2,1
4,3,222200,1,3
4,3,136000,1,3
4,2,219000,2,1
4,2,141000,2,1
4,2,147100,1,1
4,2,90700,1,1
4,4,130000,1,1
4,4,100000,1,1
2,3,213660,1,3
2,3,130760,1,3
4,5,147100,1,1
4,5,90700,1,1
4,2,170000,1,1
4,2,150000,1,1
3,4,150000,1,1
3,4,110000,1,1
4,6,275000,3,1
4,6,174000,3,1
4,7,230000,4,1
4,7,143200,4,1
4,8,225000,1,1
4,8,156400,1,1
4,9,200000,1,1
4,9,130000,1,1
4,10,90000,2,1
4,10,72000,2,1
4,11,253200,1,1
4,11,90700,1,1
4,12,342810,1,1
4,12,184590,1,1
3,11,162500,1,1
3,11,130000,1,1
3,4,105380,1,1
3,4,64500,1,1
2,13,100000,5,3
2,14,30000,5,3
3,9,1650000,6,3
2,3,204620,1,3
2,3,110680,1,3
4,11,270703,1,1
4,11,221484,1,1
4,2,212750,1,1
4,2,185000,1,1
4,2,262000,1,1
4,2,245000,1,1
4,2,275300,1,1
4,2,183500,1,1
4,2,218500,1,1
4,2,199098,1,1
4,11,203300,1,1
4,11,123600,1,1
4,6,189110,1,1
4,6,139000,1,1
1,2,258750,1,1
1,2,185000,1,1
4,11,231500,1,1
4,11,166000,1,1
4,2,172500,1,1
4,2,110500,1,1
4,11,238000,1,1
4,11,176000,1,1
4,11,237000,1,1
4,11,201450,1,1
4,3,309400,1,3
4,3,159100,1,3
4,11,115000,1,1
4,11,81500,1,1
4,2,237000,1,1
4,2,201450,1,1
4,12,280000,1,1
4,12,210000,1,1
4,15,280100,1,1
4,15,168100,1,1
4,11,193500,1,1
4,11,139000,1,1
3,2,510000,7,3
4,9,150000,1,1
3,16,65000,3,2
2,17,300000,6,3
3,9,90000,8,3
4,8,185900,1,1
4,8,129300,1,1
4,11,225000,1,1
4,11,175000,1,1
4,11,185000,1,1
4,11,140000,1,1
4,2,45000,0,1
4,2,36000,0,1
4,2,105000,1,1
4,2,70000,1,1
2,9,163196,1,1
2,9,145885,1,1
4,11,217000,1,1
4,11,185000,1,1
4,4,202800,1,3
4,4,104300,1,3
4,4,145000,1,1
4,4,65000,1,1
4,11,165000,1,1
4,11,132300,1,1
4,11,179170,1,1
4,11,94300,1,1
4,7,152500,1,1
4,7,116450,1,1
4,11,247300,1,1
4,11,133800,1,1
4,6,203000,1,1
4,6,133000,1,1
2,18,220000,1,3
2,9,54000,9,2
4,2,150000,1,1
4,2,120000,1,1
4,7,289800,1,1
4,7,214000,1,1
4,7,179820,1,1
4,7,143860,1,1
4,9,283200,1,1
4,9,188800,1,1
4,7,289800,1,1
4,7,214200,1,1
4,11,185900,1,1
4,11,129300,1,1
4,11,252000,1,1
4,11,129000,1,1
3,19,155000,1,1
3,19,140000,1,1
4,11,161800,1,1
4,11,141600,1,1
4,9,342300,1,3
4,9,176100,1,3
3,11,100000,1,1
3,11,70000,1,1
